,Brands,Styles,Prices,Available_in_Multiple_Colors
1190,Fila,Disruptor 2,425,Tidak
1191,adidas Originals,Deerupt,549,Tidak
1192,Skechers,Dighton,230,Tidak
1193,Puma,Suede Secret Garden,420,Tidak
1194,Vans,Harry Potter Slytherin Era,289,Tidak
1195,Puma,Hybrid Fuego,360,Tidak
1196,Puma,Hybrid NX Daylight,440,Tidak
1197,Under Armour,HOVR Phantom Highlighter,729,Tidak
1198,Ecco,Melbourne Slip ons,649,Ya
1199,Nike,Flex 2019 RN SE,449,Tidak
1200,Tommy Hilfiger,Iconic Material Mix Runners,459,Tidak
1201,Nike,Reax 8 TR Mesh,449,Tidak
1202,Seventy Five,Casual Sneakers,119,Tidak
1203,Skechers,Overhaul - Darosa,245,Tidak
1204,Jack & Jones,Larry Slides,75,Ya
1205,Birkenstock,Classic Arizona EVA Sandals,199,Tidak
1206,Under Armour,HOVR Phantom Confetti,729,Tidak
1207,Aldo,Cadaocia Sneakers,339,Ya
1208,Robert Wood,Velvet Casual Loafers,139,Tidak
1209,Skechers,Crankton,310,Tidak
1210,Topman,Henri Lace Trainer,175,Tidak
1211,EA7 Emporio Armani,Logo Slide Sandals,209,Tidak
1212,Jack & Jones,Larry Beach  Slides,75,Tidak
1213,Reebok,Reago Pulse,340,Tidak
1214,On Running,Cloudsurfer,790,Tidak
1215,Jack & Jones,Mike Mesh Sneakers,220,Tidak
1216,Nike,Zoom Stefan Janoski Canvas,449,Tidak
1217,adidas,Terrex Tracerocker,375,Tidak
1218,Superdry,Low Pro Sneakers,149,Ya
1219,Reebok,Flexagon 2.0 Flexweave LM,465,Tidak
1220,Call It Spring,Ancroft Lace ups,239,Tidak
1221,Skechers,Burns-Agoura,240,Tidak
1222,adidas Originals,Samba OG,475,Ya
1223,Reebok,Royal EC Ride 3,270,Tidak
1224,Jack & Jones,Bane PU Anthracite Sneakers,175,Tidak
1225,Tommy Hilfiger,Summer Slip Ons,275,Tidak
